kundennummer: K12345
interne_nummer: INT789
kategorie: Limousine
marke: BMW
modell: 530e
leistung: 292
hu: 2024-12-15
reserviert_1: 
ez: 2023-06-01
kilometer: 25000
preis: 52900.00
mwst: 1
reserviert_2: 
oldtimer: 0
vin: WBAJG51060B123456
beschaedigtes_fahrzeug: 0
farbe: Alpinweiss
klima: 1
taxi: 0
behindertengerecht: 0
jahreswagen: 1
neufahrzeug: 0
unsere_empfehlung: 1
haendlerpreis: 48900.00
reserviert_3: 
bemerkung: Sehr gepflegtes Fahrzeug mit voller Ausstattung
bild_id: BMW530e_123
metallic: 0
waehrung: EUR
mwstsatz: 19.00
garantie: 1
leichtmetallfelgen: 1
esp: 1
abs: 1
anhaengerkupplung: 0
reserviert_4: 
wegfahrsperre: 1
navigationsystem: 1
schiebedach: 0
zentralverriegelung: 1
fensterheber: 1
allradantrieb: 1
tueren: 4
umweltplakette: 1
servolenkung: 1
biodiesel: 0
scheckheftgepflegt: 1
katalysator: 1
kickstarter: 0
estarter: 1
vorfuehrfahrzeug: 0
antrieb: 1
ccm: 2998
tragkraft: 0
nutzlast: 580
gesamtgewicht: 2440
hubhoehe: 0
bauhoehe: 0
baujahr: 2023
betriebsstunden: 0
sitze: 5
schadstoff: 1
kabinenart: 0
achsen: 2
tempomat: 1
standheizung: 1
kabine: 0
schutzdach: 0
vollverkleidung: 0
komunal: 0
kran: 0
retarder_intarder: 0
schlafplatz: 0
tv: 0
wc: 0
ladebordwand: 0
hydraulikanlage: 0
schiebetuer: 0
radformel: 0
trennwand: 0
ebs: 0
vermietbar: 0
kompressor: 0
luftfederung: 1
scheibenbremse: 1
fronthydraulik: 0
bss: 0
schnellwechsel: 0
zsa: 0
kueche: 0
kuehlbox: 0
schlafsitze: 0
frontheber: 0
sichtbar_nur_fuer_Haendler: 0
reserviert_5: 0
envkv: 1
verbrauch_innerorts: 2.5
verbrauch_ausserorts: 1.8
verbrauch_kombiniert: 2.1
emission: 49
xenonscheinwerfer: 1
sitzheizung: 1
partikelfilter: 1
einparkhilfe: 1
schwackecode: 12345
lieferdatum: 2024-02-15
lieferfrist: 30
ueberfuehrungskosten: 890
hu_au_neu: 1
kraftstoffart: 1
getriebeart: 1
exportfahrzeug: 0
tageszulassung: 0
blickfaenger: 1
hsn: 7960
tsn: ABC123
seite_1_inserat: 1
reserviert_6: 
reserviert_7: 
e10: 1
reserviert_8: 
pflanzenoel: 0
scr: 1
koffer: 0
sturzbuegel: 0
scheibe: 0
standklima: 1
s_s_bereifung: 1
strassenzulassung: 1
etagenbett: 0
festbett: 0
heckgarage: 0
markise: 0
sep_dusche: 0
solaranlage: 0
mittelsitzgruppe: 0
rundsitzgruppe: 0
seitensitzgruppe: 0
hagelschaden: 0
schlafplaetze: 0
fahrzeuglaenge: 4960
fahrzeugbreite: 1870
fahrzeughoehe: 1480
laderaum_europalette: 0
laderaum_volumen: 530
laderaum_laenge: 0
laderaum_breite: 0
laderaum_hoehe: 0
inserat_als_neu_markieren: 1
effektiver_jahreszins: 3.99
monatliche_rate: 599
laufzeit: 48
anzahlung: 10000
schlussrate: 25000
finanzierungsfeature: 1
interieurfarbe: 1
interieurtyp: 1
airbag: 1
vorbesitzer: 0
top_inserat: 1
bruttokreditbetrag: 42900.00
abschlussgebuehren: 0.00
ratenabsicherung: 0.00
nettokreditbetrag: 42900.00
anbieterbank: Sample Bank AG
soll_zinssatz: 3.79
art_des_soll_zinssatzes: 1
landesversion: DE
video_url: https://example.com/video123
energieeffizienzklasse: A+
envkv_benzin_sorte: Super
elektrische_seitenspiegel: 1
sportfahrwerk: 1
sportpaket: 1
bluetooth: 1
bordcomputer: 1
cd_spieler: 1
elektrische_sitzeinstellung: 1
head_up_display: 1
freisprecheinrichtung: 1
mp3_schnittstelle: 1
multifunktionslenkrad: 1
skisack: 1
tuner_oder_radio: 1
sportsitze: 1
panorama_dach: 0
kindersitzbefestigung: 1
kurvenlicht: 1
lichtsensor: 1
nebelscheinwerfer: 1
tagfahrlicht: 1
traktionskontrolle: 1
start_stop_automatik: 1
regensensor: 1
nichtraucher_fahrzeug: 1
dachreling: 0
unfallfahrzeug: 0
fahrtauglich: 1
produktionsdatum: 2023-05-15
einparkhilfe_sensoren_vorne: 1
einparkhilfe_sensoren_hinten: 1
einparkhilfe_kamera: 1
einparkhilfe_selbstlenkendes_system: 1
reserviert_9: 
rotstiftpreis: 0
kleinanzeigen_export: 1
plugin_hybrid: 1
kombinierter_stromverbrauch: 18.5
highlight_1: Premium Package
highlight_2: M Sport
highlight_3: Innovation Package
bedingungen_finanzierungsvorschlag: Bonität vorausgesetzt
